application_id,customer_id,application_date,uf,channel,age,gender,education,employment_type,months_employed,monthly_income,bank_relationship_months,marital_status,dependents,housing_status,credit_history_months,previous_loans,previous_defaults,bureau_inquiries_90d,open_credit_lines,credit_utilization,delinquency_12m,avg_payment_delay_days,monthly_existing_debt,requested_amount,loan_purpose,term_months,estimated_installment,debt_to_income,digital_behavior_score,device_age_months,email_age_months,phone_verified,document_consistency,ip_risk_score,credit_score_internal,risk_band,approved,approved_amount,interest_rate_monthly,default_90d,fraud_confirmed
APP0007560,CUST007560,2024-01-02,GO,app_android,51,F,superior_incompleto,MEI,35,928.55,20,solteiro,1,proprio_financiado,223,1,0,2,2,0.59,0,4.3,263.59,17394.94,veiculo,48,753.31,1.095,69.1,5,59,1,1,1.1,562,D,0,0.0,0.0745,0,0
APP0005485,CUST005485,2024-01-02,SC,app_ios,29,M,superior_incompleto,autonomo,9,1961.29,4,solteiro,2,alugado,55,1,0,3,2,1.0,1,1.5,802.8,1822.94,emergencia,18,138.21,0.48,29.1,11,177,1,1,6.8,522,D,0,0.0,0.0636,0,0
APP0004971,CUST004971,2024-01-02,MG,app_android,29,F,medio,CLT,41,1579.23,14,divorciado,1,familia,98,0,0,1,3,0.579,1,7.2,856.89,18837.29,renegociacao,12,1949.36,1.777,62.5,17,18,1,1,5.8,480,E,0,0.0,0.1161,0,0
APP0006274,CUST006274,2024-01-02,PR,web,25,M,medio,autonomo,30,5574.62,53,uniao_estavel,0,outro,26,0,0,1,3,0.187,0,5.2,272.38,1399.94,emergencia,18,106.14,0.068,69.6,8,27,1,1,14.8,702,B,1,1399.94,0.0421,0,0
APP0004180,CUST004180,2024-01-02,RJ,app_android,34,F,superior_incompleto,desempregado,0,1597.48,26,divorciado,0,proprio_quitado,41,0,0,4,3,0.55,1,7.4,692.86,7669.58,capital_giro,24,477.61,0.733,48.5,2,18,1,1,6.8,407,E,0,0.0,0.1039,0,0
APP0000273,CUST000273,2024-01-02,DF,app_ios,38,F,medio,CLT,45,6466.99,14,casado,1,alugado,179,1,0,3,7,0.57,2,2.9,4220.87,1486.06,consumo,18,112.67,0.67,57.1,5,18,1,1,4.4,614,C,0,0.0,0.0441,0,0
APP0001343,CUST001343,2024-01-02,DF,app_android,45,F,superior_incompleto,MEI,39,2128.95,42,solteiro,4,alugado,86,0,0,0,2,0.304,0,6.3,703.61,2070.37,renegociacao,36,102.04,0.378,54.3,38,19,1,1,5.1,755,B,1,2070.37,0.0467,0,0
APP0005576,CUST005576,2024-01-02,SP,app_android,33,F,pos_graduacao,MEI,35,3766.25,27,solteiro,3,alugado,61,0,0,1,4,0.284,0,9.5,595.19,3301.14,capital_giro,18,250.28,0.224,59.8,34,31,1,1,14.0,719,B,1,3301.14,0.0397,0,0
APP0007834,CUST007834,2024-01-02,DF,app_android,42,M,medio,MEI,24,1940.16,14,casado,1,proprio_financiado,130,1,0,1,3,0.178,0,12.8,850.14,6472.02,capital_giro,24,403.03,0.646,50.6,7,26,1,1,1.1,682,C,0,0.0,0.0516,0,0
APP0005361,CUST005361,2024-01-02,RS,app_android,51,F,superior,CLT,53,4342.58,14,divorciado,1,alugado,223,1,0,3,6,0.448,0,6.4,1328.16,2623.7,consumo,24,163.39,0.343,93.1,1,37,1,1,9.2,671,C,0,0.0,0.0446,0,0
APP0005006,CUST005006,2024-01-02,SP,app_android,25,M,medio,CLT,23,1691.44,8,solteiro,3,familia,16,1,0,2,2,0.421,0,2.4,245.51,15052.64,saude,9,1978.61,1.315,75.3,11,25,1,1,12.9,486,E,0,0.0,0.1034,0,0
APP0007780,CUST007780,2024-01-02,PR,app_ios,54,M,fundamental,CLT,83,2098.15,7,viuvo,1,familia,172,0,0,1,5,0.701,0,2.2,601.66,5536.08,emergencia,9,727.7,0.634,54.5,16,19,1,1,3.8,591,D,0,0.0,0.0661,0,0
APP0000593,CUST000593,2024-01-02,SP,app_ios,29,F,medio,servidor_publico,50,2357.36,19,uniao_estavel,0,alugado,99,0,0,1,2,0.336,0,1.0,1075.87,10118.19,capital_giro,18,767.13,0.782,64.3,5,71,1,1,27.6,639,C,1,6009.49,0.0593,0,0
APP0007944,CUST007944,2024-01-02,SP,app_android,39,M,superior,desempregado,0,2707.77,18,divorciado,2,proprio_quitado,166,1,0,2,3,0.543,0,1.5,321.53,7622.16,consumo,12,788.77,0.41,41.6,2,46,1,1,9.1,616,C,0,0.0,0.0495,0,0
APP0005916,CUST005916,2024-01-02,SP,app_android,35,M,medio,CLT,53,2863.54,22,solteiro,2,alugado,128,2,1,1,2,0.348,0,5.2,846.2,754.12,renegociacao,12,78.04,0.323,65.1,4,19,1,1,10.2,703,B,1,754.12,0.0436,0,0
APP0003344,CUST003344,2024-01-02,SP,app_android,33,F,medio,CLT,27,2123.36,33,solteiro,1,familia,56,1,0,2,3,0.419,0,4.1,912.88,4233.78,emergencia,24,263.65,0.554,55.7,7,25,1,1,2.9,603,C,0,0.0,0.0505,0,0
APP0007923,CUST007923,2024-01-02,SP,app_android,25,F,superior,MEI,53,4238.87,13,uniao_estavel,2,alugado,57,1,0,2,4,0.322,1,2.6,1197.94,3799.13,consumo,6,712.98,0.451,63.3,19,12,1,1,15.1,614,C,0,0.0,0.0452,0,0
APP0002654,CUST002654,2024-01-02,SP,app_android,47,F,superior_incompleto,CLT,59,3141.6,27,divorciado,3,proprio_quitado,313,3,0,2,4,0.314,0,2.9,1378.84,3722.16,consumo,24,231.79,0.513,54.5,13,55,0,1,10.0,702,B,1,3722.16,0.0396,0,0
APP0002195,CUST002195,2024-01-03,SP,app_android,41,M,medio,CLT,68,2724.82,20,divorciado,3,alugado,106,3,0,3,4,0.513,0,0.7,1125.02,12804.72,reforma,12,1325.08,0.899,70.0,38,221,1,1,8.3,595,D,0,0.0,0.079,0,0
APP0002314,CUST002314,2024-01-03,SC,whatsapp,26,F,medio,CLT,45,3980.17,39,casado,0,proprio_quitado,58,1,0,1,1,0.334,1,4.9,1192.16,5059.77,consumo,12,523.6,0.431,48.6,3,103,1,1,6.1,643,C,0,0.0,0.0457,0,0
APP0005443,CUST005443,2024-01-03,SP,app_android,45,M,medio,CLT,41,3310.29,20,casado,1,familia,204,3,0,1,5,0.187,1,1.1,2266.67,2608.79,consumo,24,162.46,0.734,39.7,11,12,0,1,2.9,637,C,0,0.0,0.0605,0,0
APP0000248,CUST000248,2024-01-03,MT,app_android,42,F,fundamental,CLT,68,932.29,25,uniao_estavel,2,alugado,45,2,0,4,1,0.594,0,2.6,152.19,1550.89,reforma,18,117.58,0.289,67.9,6,14,1,1,25.7,624,C,0,0.0,0.0426,0,0
APP0001934,CUST001934,2024-01-03,RS,whatsapp,44,M,medio,MEI,32,6732.97,4,solteiro,0,familia,154,2,0,3,5,0.34,0,5.5,1940.13,2600.57,reforma,36,128.17,0.307,47.3,5,27,1,1,32.4,703,B,1,2600.57,0.0388,0,0
APP0003104,CUST003104,2024-01-03,MG,app_android,54,F,superior_incompleto,servidor_publico,56,3476.43,12,uniao_estavel,1,alugado,72,0,0,0,4,0.178,0,1.9,442.75,5491.25,reforma,36,270.63,0.205,82.2,5,20,1,1,16.8,836,A,1,5491.25,0.0317,0,0
APP0004322,CUST004322,2024-01-03,ES,app_android,50,F,superior_incompleto,CLT,24,1582.46,30,uniao_estavel,0,alugado,114,3,0,1,3,0.673,1,1.4,325.46,1948.86,consumo,12,201.68,0.333,44.3,11,74,1,1,3.7,603,C,0,0.0,0.0475,0,0
APP0004065,CUST004065,2024-01-03,DF,app_android,26,F,superior,CLT,17,2740.73,38,casado,0,proprio_quitado,33,0,0,1,3,0.484,0,1.2,669.54,1547.69,renegociacao,6,290.45,0.35,67.2,38,22,1,1,2.1,592,D,0,0.0,0.0758,0,0
APP0004888,CUST004888,2024-01-03,SC,app_android,19,M,superior,CLT,99,1341.49,28,solteiro,0,familia,7,0,0,3,1,0.436,0,3.6,461.89,4545.69,reforma,6,853.08,0.98,52.4,14,43,1,1,3.3,505,D,0,0.0,0.0696,0,0
APP0003373,CUST003373,2024-01-03,SP,app_android,42,M,medio,autonomo,9,2119.51,36,casado,3,alugado,104,2,0,2,2,0.843,0,2.3,601.69,2566.77,renegociacao,36,126.5,0.344,59.7,5,11,1,1,9.3,571,D,0,0.0,0.0733,0,0
APP0006401,CUST006401,2024-01-03,SC,app_ios,26,M,superior_incompleto,CLT,47,2336.93,50,solteiro,0,proprio_financiado,29,0,0,0,2,0.264,0,0.9,365.69,3131.91,educacao,12,324.1,0.295,53.7,20,32,1,1,8.6,709,B,1,3131.91,0.0309,0,0
APP0004209,CUST004209,2024-01-03,SP,app_android,26,F,superior_incompleto,CLT,35,2057.91,15,solteiro,0,alugado,36,0,0,1,0,0.701,1,4.4,138.8,20860.05,capital_giro,24,1299.01,0.699,36.9,11,16,1,1,9.8,477,E,1,8922.95,0.0914,0,0
APP0004891,CUST004891,2024-01-03,RJ,app_android,33,F,superior,MEI,31,2905.83,17,solteiro,2,proprio_financiado,53,2,0,0,2,0.295,0,1.4,2024.41,5023.55,consumo,18,380.87,0.828,71.0,16,53,1,1,18.0,559,D,0,0.0,0.0788,0,0
APP0007107,CUST007107,2024-01-03,SP,app_android,57,M,superior,autonomo,47,5162.13,13,casado,2,alugado,270,8,1,0,2,0.177,0,10.0,1349.7,4850.42,consumo,24,302.05,0.32,63.7,36,27,0,1,36.9,720,B,0,0.0,0.041,0,0
APP0002967,CUST002967,2024-01-04,BA,whatsapp,54,F,superior_incompleto,CLT,10,3280.98,35,solteiro,2,proprio_financiado,171,2,0,2,5,0.393,0,0.5,1464.39,2183.51,saude,24,135.97,0.488,94.1,64,163,0,1,10.2,611,C,0,0.0,0.0451,0,0
APP0006776,CUST006776,2024-01-04,RJ,app_ios,55,F,medio,MEI,24,2207.61,28,solteiro,0,proprio_quitado,274,5,0,2,3,0.274,0,1.2,477.6,911.1,renegociacao,12,94.28,0.259,34.7,42,18,1,1,10.6,652,C,0,0.0,0.0532,0,0
APP0001609,CUST001609,2024-01-04,SP,parceiro,39,F,superior_incompleto,CLT,53,2855.9,25,solteiro,0,alugado,53,2,0,1,7,0.203,0,3.4,1290.05,3810.1,renegociacao,36,187.78,0.517,57.9,21,7,1,1,1.5,737,B,1,3810.1,0.0434,0,0
APP0000326,CUST000326,2024-01-04,BA,app_android,51,F,pos_graduacao,MEI,51,4556.22,16,divorciado,0,alugado,165,2,0,0,2,0.139,0,7.3,1132.7,1898.6,reforma,12,196.47,0.292,50.9,21,13,1,1,10.6,734,B,1,1898.6,0.0359,0,0
APP0005003,CUST005003,2024-01-05,DF,app_ios,26,F,superior_incompleto,autonomo,40,1515.8,56,casado,0,familia,86,0,0,1,0,0.692,0,9.7,285.59,6580.6,renegociacao,36,324.32,0.402,59.9,34,78,1,1,17.9,645,C,0,0.0,0.0591,0,0
APP0003466,CUST003466,2024-01-05,SC,web,37,F,medio,autonomo,35,2930.78,16,uniao_estavel,1,familia,201,3,0,1,4,0.273,0,6.6,1951.54,3240.95,capital_giro,12,335.39,0.78,46.2,29,33,1,1,1.6,641,C,0,0.0,0.058,0,0
APP0002186,CUST002186,2024-01-05,ES,parceiro,26,F,fundamental,CLT,29,800.0,9,casado,0,familia,83,4,0,1,0,0.441,0,15.7,229.58,4432.22,saude,18,336.04,0.707,83.3,14,16,0,1,0.6,639,C,0,0.0,0.0546,0,0
APP0004434,CUST004434,2024-01-05,ES,app_ios,18,M,fundamental,desempregado,0,897.44,21,casado,2,familia,0,0,0,5,1,0.335,0,11.3,253.08,4787.5,emergencia,24,298.13,0.614,63.0,0,51,0,1,4.1,476,E,0,0.0,0.0907,0,0
APP0001082,CUST001082,2024-01-05,SP,parceiro,28,NA,superior,MEI,40,7524.77,31,solteiro,3,proprio_quitado,36,0,0,1,1,0.537,0,11.0,2725.57,4406.33,consumo,24,274.39,0.399,92.8,25,73,1,1,14.3,654,C,0,0.0,0.0313,0,0
APP0001840,CUST001840,2024-01-05,SP,app_ios,29,M,superior_incompleto,CLT,70,2196.24,27,solteiro,0,proprio_quitado,98,2,1,1,5,0.534,1,4.4,611.41,1934.55,reforma,18,146.67,0.345,37.8,33,17,1,1,38.0,573,D,0,0.0,0.0624,0,0
APP0005426,CUST005426,2024-01-05,PR,app_ios,50,F,superior_incompleto,autonomo,49,1632.36,28,uniao_estavel,2,proprio_quitado,258,5,0,0,3,0.838,0,3.1,910.78,10738.81,capital_giro,24,668.74,0.968,54.4,5,41,1,1,13.6,532,D,0,0.0,0.0752,0,0
APP0007102,CUST007102,2024-01-05,SP,parceiro,28,F,superior,CLT,61,2788.82,35,casado,2,proprio_quitado,48,0,0,0,4,0.319,0,1.9,760.82,2549.69,renegociacao,36,125.66,0.318,56.1,3,53,1,1,14.3,668,C,0,0.0,0.0622,0,0
APP0002474,CUST002474,2024-01-06,BA,app_ios,22,M,superior,autonomo,17,5894.64,57,uniao_estavel,3,proprio_quitado,43,0,0,0,4,0.123,0,13.9,526.78,2708.45,renegociacao,18,205.35,0.124,74.1,2,18,1,1,6.8,736,B,0,0.0,0.0533,0,0
APP0005037,CUST005037,2024-01-06,RS,whatsapp,70,F,superior_incompleto,CLT,9,3058.43,39,casado,0,outro,558,10,0,2,6,0.132,0,3.5,969.09,8657.27,capital_giro,36,426.67,0.456,87.7,0,16,1,1,10.4,761,B,0,0.0,0.0239,0,0
APP0001913,CUST001913,2024-01-06,MS,app_android,31,F,superior,desempregado,0,1802.06,40,casado,1,proprio_quitado,51,0,0,2,1,0.614,0,7.2,843.65,7491.43,consumo,18,567.98,0.783,53.8,53,51,1,1,10.5,480,E,0,0.0,0.1011,0,0
APP0007817,CUST007817,2024-01-06,SP,app_ios,28,NA,superior,CLT,54,1396.87,60,uniao_estavel,0,alugado,106,1,0,2,2,0.466,0,4.9,465.04,10252.69,renegociacao,18,777.33,0.889,44.2,6,83,0,1,10.4,544,D,0,0.0,0.0936,0,0
APP0005479,CUST005479,2024-01-06,PE,app_android,35,F,superior,CLT,100,2875.08,27,uniao_estavel,3,alugado,35,0,0,1,1,0.169,0,3.4,248.22,15038.88,consumo,24,936.51,0.412,66.9,6,21,1,1,6.8,669,C,0,0.0,0.0445,0,0
APP0002042,CUST002042,2024-01-06,PR,app_ios,23,M,medio,CLT,37,1464.02,12,casado,2,alugado,53,0,0,2,3,0.533,1,1.8,678.95,1848.27,consumo,9,242.95,0.63,66.9,24,27,1,1,5.9,560,D,0,0.0,0.0552,0,0
APP0005139,CUST005139,2024-01-06,SC,whatsapp,36,M,medio,CLT,36,9791.05,43,uniao_estavel,2,proprio_quitado,166,1,0,2,0,0.396,0,0.4,2440.64,4832.02,capital_giro,9,635.15,0.314,65.6,42,120,1,1,12.2,786,B,1,4832.02,0.0377,0,0
APP0003352,CUST003352,2024-01-06,MG,app_android,51,M,medio,desempregado,0,800.0,33,casado,0,proprio_quitado,258,3,1,0,2,0.804,1,9.7,351.63,7348.38,veiculo,6,1379.06,2.163,67.4,50,8,1,1,2.2,317,E,0,0.0,0.0974,0,0
APP0001314,CUST001314,2024-01-06,GO,app_android,25,F,fundamental,MEI,66,5185.98,39,casado,0,proprio_quitado,57,1,1,2,3,0.932,2,4.5,1635.45,2959.56,renegociacao,24,184.3,0.351,74.4,7,128,1,1,8.2,481,E,0,0.0,0.1092,0,0
APP0001498,CUST001498,2024-01-06,MG,parceiro,18,M,medio,desempregado,0,970.06,13,uniao_estavel,0,alugado,0,0,0,1,0,0.314,1,1.9,76.66,2753.29,consumo,18,208.75,0.294,53.3,7,56,1,0,2.4,545,D,0,0.0,0.0752,0,0
APP0006096,CUST006096,2024-01-06,BA,whatsapp,34,M,fundamental,CLT,35,2390.59,9,uniao_estavel,2,familia,152,3,0,1,2,0.41,0,2.8,819.25,2714.96,consumo,48,117.58,0.392,71.9,24,21,1,1,26.0,669,C,0,0.0,0.0462,0,0
APP0002017,CUST002017,2024-01-07,RJ,whatsapp,28,F,superior_incompleto,CLT,9,1702.97,48,casado,2,alugado,102,2,0,3,5,0.438,0,8.1,582.97,4816.76,veiculo,9,633.14,0.714,90.3,12,60,1,1,1.5,607,C,1,4816.76,0.0458,0,0
APP0006195,CUST006195,2024-01-07,SC,parceiro,45,M,superior_incompleto,CLT,74,2634.53,35,solteiro,3,outro,173,2,0,0,3,0.399,0,1.2,488.17,933.45,saude,36,46.0,0.203,62.0,5,90,1,1,28.8,686,C,1,933.45,0.037,0,0
APP0002007,CUST002007,2024-01-07,MG,app_ios,30,M,medio,CLT,32,2007.01,29,casado,2,proprio_quitado,122,0,0,0,3,0.931,0,3.0,1134.97,8531.79,capital_giro,12,882.9,1.005,77.6,6,107,1,1,30.9,470,E,0,0.0,0.1094,0,0
APP0005355,CUST005355,2024-01-07,PR,app_android,51,M,medio,CLT,42,4782.47,15,casado,2,familia,82,2,0,0,2,0.254,0,0.7,887.14,5947.04,capital_giro,9,781.71,0.349,87.7,28,75,1,1,17.7,795,B,1,5947.04,0.0335,0,0
APP0006224,CUST006224,2024-01-07,RJ,web,43,M,superior_incompleto,servidor_publico,53,3557.25,13,uniao_estavel,2,familia,212,3,0,1,2,0.305,0,0.9,1808.3,2368.04,renegociacao,9,311.27,0.596,80.5,48,85,1,1,15.3,711,B,1,2368.04,0.0487,0,0
APP0000723,CUST000723,2024-01-07,SP,web,47,M,superior,CLT,20,4876.51,41,solteiro,1,familia,312,2,0,3,7,0.647,0,2.0,806.41,5494.12,renegociacao,24,342.13,0.236,44.6,0,20,1,1,27.3,616,C,0,0.0,0.0506,0,0
APP0005838,CUST005838,2024-01-07,MG,app_android,46,F,superior,desempregado,0,4265.48,15,solteiro,1,alugado,59,2,1,0,5,0.372,0,8.6,1561.52,1074.14,consumo,12,111.16,0.392,18.0,33,11,1,1,25.4,498,E,0,0.0,0.0996,0,0
APP0005339,CUST005339,2024-01-07,CE,app_ios,40,NA,medio,MEI,115,1205.81,4,casado,3,familia,185,1,0,1,3,0.306,0,4.8,249.85,12374.94,capital_giro,24,770.62,0.846,49.4,15,17,1,1,40.1,597,D,1,8807.19,0.08,0,0
APP0007597,CUST007597,2024-01-07,SP,parceiro,36,M,superior,CLT,79,3342.22,12,solteiro,0,proprio_financiado,70,2,0,1,1,0.247,0,12.3,626.52,1789.14,saude,36,88.18,0.214,51.5,68,34,1,1,8.4,717,B,0,0.0,0.0192,0,0
APP0002731,CUST002731,2024-01-07,BA,app_android,41,NA,medio,CLT,23,4221.73,24,solteiro,0,proprio_quitado,116,3,1,3,2,0.719,2,15.3,1391.12,8339.43,consumo,24,519.32,0.453,24.1,7,156,1,1,6.5,412,E,0,0.0,0.0867,0,0
APP0007561,CUST007561,2024-01-08,BA,app_android,27,M,superior,autonomo,53,3891.29,25,solteiro,1,alugado,35,0,0,0,2,0.236,0,5.8,1170.42,5209.47,capital_giro,24,324.41,0.384,77.8,25,72,1,0,19.7,645,C,0,0.0,0.0587,0,0
APP0005997,CUST005997,2024-01-08,PR,app_android,28,F,medio,servidor_publico,29,3013.44,27,casado,0,proprio_quitado,72,1,0,3,1,0.212,0,2.5,565.45,7504.04,veiculo,12,776.55,0.445,65.3,84,40,1,1,34.0,776,B,1,7504.04,0.0434,0,0
APP0006534,CUST006534,2024-01-08,SP,parceiro,25,M,superior_incompleto,CLT,115,5727.94,21,solteiro,4,familia,48,1,0,1,2,0.148,0,30.6,1047.18,24715.47,renegociacao,6,4638.31,0.993,43.3,61,69,0,1,6.7,592,D,0,0.0,0.0834,0,0
APP0007940,CUST007940,2024-01-08,MG,web,34,F,superior,desempregado,0,4213.09,24,solteiro,4,proprio_quitado,154,2,0,2,3,0.13,0,2.1,653.77,3173.56,consumo,18,240.61,0.212,68.4,9,20,1,1,15.1,604,C,1,3173.56,0.0484,1,0
APP0003948,CUST003948,2024-01-08,RS,app_ios,36,F,superior,autonomo,71,2424.72,25,casado,1,familia,94,1,0,0,4,0.659,0,9.3,695.59,4567.47,reforma,18,346.29,0.43,57.6,0,60,1,1,2.8,681,C,1,4567.47,0.0457,0,0
APP0005767,CUST005767,2024-01-08,SP,app_ios,41,F,fundamental,CLT,50,1088.68,24,casado,1,familia,66,1,0,3,4,0.359,0,13.4,341.57,1700.66,reforma,18,128.94,0.432,83.5,4,39,0,1,16.7,603,C,0,0.0,0.0382,0,0
APP0002172,CUST002172,2024-01-08,SP,app_android,30,NA,medio,autonomo,159,6422.25,19,solteiro,3,proprio_quitado,104,1,0,0,2,0.477,0,5.1,463.22,4519.74,reforma,12,467.72,0.145,55.0,11,5,1,1,4.3,744,B,1,4519.74,0.0361,0,0
APP0003437,CUST003437,2024-01-08,SP,web,45,F,superior,CLT,96,1851.05,14,casado,3,familia,134,4,3,1,3,0.475,0,27.5,316.62,5964.55,consumo,6,1119.36,0.776,52.4,10,30,1,1,7.3,538,D,0,0.0,0.0752,0,0
APP0004715,CUST004715,2024-01-08,PR,app_ios,34,F,superior,MEI,17,2057.27,43,divorciado,0,alugado,33,2,0,2,0,0.472,1,0.4,467.7,2934.42,veiculo,18,222.48,0.335,78.4,3,27,1,1,6.0,608,C,0,0.0,0.0373,0,0
APP0002404,CUST002404,2024-01-09,RJ,app_android,43,M,fundamental,CLT,51,3891.91,43,uniao_estavel,0,proprio_quitado,266,4,0,3,2,0.887,0,0.5,1153.99,19547.91,capital_giro,48,846.55,0.514,66.7,6,42,1,1,4.7,549,D,1,15389.43,0.0737,1,0
APP0003814,CUST003814,2024-01-09,RS,app_android,37,F,medio,autonomo,114,2744.0,38,solteiro,2,proprio_financiado,95,2,0,1,5,0.507,0,1.0,824.28,5823.83,veiculo,18,441.54,0.461,84.7,3,44,0,1,5.2,706,B,1,5823.83,0.0375,0,0
APP0006036,CUST006036,2024-01-09,SP,app_android,42,M,fundamental,MEI,66,1495.77,7,casado,1,proprio_financiado,163,0,0,1,1,0.37,0,3.1,484.08,3205.63,consumo,12,331.73,0.545,62.7,17,65,1,1,6.5,746,B,0,0.0,0.0359,0,0
APP0003631,CUST003631,2024-01-09,BA,app_android,43,F,medio,autonomo,21,3782.47,57,casado,2,proprio_quitado,245,3,0,2,9,0.411,0,4.5,887.67,1304.35,consumo,18,98.89,0.261,48.3,22,32,1,1,4.6,731,B,1,1304.35,0.0334,0,0
APP0004361,CUST004361,2024-01-09,SP,web,45,M,medio,autonomo,60,1785.8,16,solteiro,0,proprio_quitado,111,2,1,3,4,0.465,3,2.0,477.03,7738.2,capital_giro,36,381.37,0.481,61.5,8,28,1,1,11.3,468,E,0,0.0,0.0945,0,0
APP0006301,CUST006301,2024-01-09,PE,web,32,F,medio,aposentado,31,1888.86,8,solteiro,2,proprio_financiado,139,2,0,1,2,0.822,0,4.7,448.49,7280.25,consumo,6,1366.27,0.961,37.4,37,85,1,0,28.5,499,E,0,0.0,0.1064,0,0
APP0006464,CUST006464,2024-01-09,SP,app_ios,42,F,fundamental,autonomo,70,2492.42,40,casado,0,familia,153,1,0,1,2,0.883,0,4.0,1187.28,13958.04,renegociacao,12,1444.43,1.056,58.2,42,142,1,1,8.3,439,E,0,0.0,0.1296,0,0
APP0006377,CUST006377,2024-01-09,BA,app_android,46,M,superior,autonomo,36,4042.17,35,solteiro,2,proprio_financiado,119,1,0,1,3,0.066,0,3.9,641.76,6505.84,capital_giro,12,673.25,0.325,53.8,12,5,1,1,0.6,769,B,0,0.0,0.0321,0,0
APP0004286,CUST004286,2024-01-10,RS,web,39,F,superior,aposentado,42,2111.89,24,solteiro,0,alugado,168,3,0,1,3,0.744,0,0.5,500.42,8195.94,capital_giro,48,354.94,0.405,48.8,1,28,1,1,1.3,695,C,1,8195.94,0.0396,0,0
APP0001575,CUST001575,2024-01-10,SP,app_android,30,M,medio,CLT,64,2876.2,39,casado,4,alugado,45,1,0,2,1,0.202,0,2.8,849.2,13691.85,consumo,12,1416.89,0.788,49.9,6,62,1,1,31.2,595,D,0,0.0,0.0738,0,0
APP0001848,CUST001848,2024-01-10,SP,app_android,30,F,fundamental,CLT,193,1217.56,35,casado,2,proprio_financiado,54,1,0,0,3,0.813,0,15.4,536.99,8235.1,renegociacao,24,512.82,0.862,47.4,52,20,1,1,4.2,527,D,0,0.0,0.0897,0,0
APP0007867,CUST007867,2024-01-10,SP,app_android,31,F,medio,autonomo,37,3137.14,16,casado,0,alugado,101,0,0,0,1,0.115,0,2.5,427.3,14504.18,consumo,36,714.83,0.364,46.7,7,25,1,1,1.4,728,B,0,0.0,0.0337,0,0
